"","IDtrappola","CattSiNo","Ncatture","Animalidiversi","Noccasioni","Esp","Incl","Alt","copveg","NSpecie","media.rocce","mediana.rocce","sd.rocce","Esp.tr"
"1",1,0,0,0,15,234,13,2711,45,23,85.6666666666667,96,23.2880512996114,-126
"2",2,1,1,1,15,294,16,2713,35,16,98,76,69.656299069072,-66
"3",3,0,0,0,15,310,0,2711,25,13,67,62,19,-50
"4",4,0,0,0,15,293,8,2715,50,23,55,36,38.2230297072328,-67
"5",5,0,0,0,15,294,11,2719,25,21,84,47,69.3469537903432,-66
"6",6,0,0,0,15,310,7,2722,55,20,65.6666666666667,36,55.770362499569,-50
"7",7,1,1,1,14,332,0,2723,45,22,70,56,40.8411557133243,-28
"8",8,0,0,0,15,19,6,2724,25,24,82,94,23.43074902772,19
"9",9,1,1,1,15,4,0,2726,10,8,100.666666666667,97,54.5924292675581,4
"10",10,1,1,1,15,343,0,2724,35,20,44.3333333333333,41,12.3423390543824,-17
"11",11,0,0,0,15,328,0,2721,5,7,80.6666666666667,55,61.6468436607531,-32
"12",12,1,2,2,15,320,18,2726,30,14,79,82,12.7671453348037,-40
"13",13,1,2,2,15,301,22,2725,5,10,77,58,57.8878225536252,-59
"14",14,1,1,1,15,317,10,2728,50,21,114,37,135.103663902945,-43
"15",15,1,1,1,15,332,9,2728,10,15,58.3333333333333,45,31.2143129562919,-28
"16",16,1,2,2,14,329,14,2725,20,9,64,50,50.4777178564959,-31
"17",17,0,0,0,15,0,10,2723,55,21,74.6666666666667,63,31.1822599138249,0
"18",18,0,0,0,15,345,12,2727,5,11,78.6666666666667,67,22.8546129552293,-15
"19",19,1,3,2,15,325,0,2729,55,24,74,66,27.8747197295327,-35
"20",20,0,0,0,15,275,5,2727,45,29,55.6666666666667,53,41.0649891432268,-85
"21",21,0,0,0,15,292,13,2720,45,26,75.3333333333333,75,5.5075705472861,-68
"22",22,0,0,0,15,300,10,2725,25,14,97.6666666666667,88,35.5011736895181,-60
"23",23,1,2,2,15,293,14,2723,20,16,88.6666666666667,51,75.8705037108186,-67
"24",24,0,0,0,15,322,10,2718,10,17,167.666666666667,168,133.500312109498,-38
"25",25,0,0,0,15,315,11,2720,60,29,190.666666666667,212,129.326460298476,-45
"26",26,1,2,2,15,342,11,2718,40,21,51.6666666666667,52,11.5036226178249,-18
"27",27,0,0,0,15,325,0,2719,35,24,119,105,47.5709995690652,-35
"28",28,0,0,0,15,340,20,2717,45,26,91.3333333333333,91,25.5016339345802,-20
"29",29,1,1,1,15,314,14,2715,45,22,79,80,14.5258390463339,-46
"30",30,1,1,1,15,12,2,2713,35,27,137.333333333333,61,136.566223252067,12
"31",31,1,2,2,15,62,20,2713,15,15,180,56,225.246531604817,62
"32",32,1,1,1,15,34,19,2714,5,7,96,104,55.4346462061408,34
