animal_id;capture_id;data;dawn;occasion;trap_id;chip;recapture;furmark;weight_g;sex;age;repr_status;footlength_mm;year;month;DOY;session;notes
1;1;14/07/2015;FALSE;1;23;1313062;N;NA;43;M;A;R;NA;2015;7;194;I;
14;2;16/07/2015;TRUE;4;55;NA;N;NA;40;F;A;R;20;2015;7;196;I;
1;3;16/07/2015;TRUE;4;19;1313062;R;NA;45;M;A;R;20;2015;7;196;I;
1;4;17/07/2015;TRUE;6;19;1313062;R;NA;44;M;A;R;20;2015;7;197;I;
3;5;17/07/2015;TRUE;6;23;NA;N;F;36;F;A;NR;18;2015;7;197;I;MISURATO CON VENTO
2;6;17/07/2015;TRUE;6;12;1317018;N;E;43;F;A;R;18;2015;7;197;I;
1;7;17/07/2015;FALSE;7;66;1313062;R;NA;NA;M;A;R;20;2015;7;197;I;TEMPORALE
15;8;17/07/2015;FALSE;7;61;NA;N;NA;NA;NA;A;NA;NA;2015;7;197;I;TEMPORALE
16;9;18/07/2015;TRUE;8;19;NA;N;D;18;NA;G;NR;18;2015;7;198;I;
4;10;18/07/2015;TRUE;8;67;1310363;N;C;40;F;A;R;19;2015;7;198;I;
17;11;18/07/2015;TRUE;8;43;1313039;N;NA;33;F;A;NR;19;2015;7;198;I;MICROCHIP USCITO
18;12;18/07/2015;TRUE;8;32;NA;N;A/C;39;M;A;NR;19;2015;7;198;I;
19;13;20/07/2015;TRUE;12;2;NA;N;NA;36;NA;A;NA;NA;2015;7;200;I;
2;14;20/07/2015;TRUE;12;10;1317018;R;E;34;F;A;R;18;2015;7;200;I;
1;15;20/07/2015;TRUE;12;12;1313062;R;NA;44;M;A;R;20;2015;7;200;I;
20;16;20/07/2015;TRUE;12;40;NA;N;E;16;NA;G;NR;17;2015;7;200;I;
21;17;20/07/2015;TRUE;12;39;NA;N;NA;14;NA;G;NR;17;2015;7;200;I;
22;18;20/07/2015;TRUE;12;33;1315296;N;NA;46;NA;A;NA;21;2015;7;200;I;
23;19;21/07/2015;TRUE;14;15;NA;N;A/C;46;M;A;R;18;2015;7;201;I;
24;20;21/07/2015;TRUE;14;13;NA;N;NA;18;NA;G;NR;17;2015;7;201;I;
3;21;21/07/2015;TRUE;14;45;NA;R;F;38;F;A;NR;18;2015;7;201;I;
4;22;21/07/2015;TRUE;14;42;NA;R;C;37;F;A;R;18;2015;7;201;I;POSSIBILE MARCATURA PELO IN C (NON SICURI)
25;23;21/07/2015;TRUE;14;33;NA;N;A;22;NA;G;NR;19;2015;7;201;I;
26;24;21/07/2015;TRUE;14;29;NA;N;NA;17;NA;G;NR;17;2015;7;201;I;
27;25;21/07/2015;FALSE;15;13;NA;N;NA;NA;NA;G;NR;NA;2015;7;201;I;
28;26;21/07/2015;FALSE;15;26;NA;N;NA;NA;NA;G;NR;NA;2015;7;201;I;
29;27;21/07/2015;FALSE;15;34;NA;R;NA;NA;NA;A;NA;NA;2015;7;201;I;PELO MARCATO IN UNO O PIU PUNTI
1;28;21/07/2015;FALSE;15;42;1313062;R;NA;NA;M;A;R;20;2015;7;201;I;
2;29;22/07/2015;TRUE;16;16;1317018;R;E;31;F;A;R;18;2015;7;202;I;
3;30;22/07/2015;TRUE;16;42;NA;R;F;33;F;A;NR;18;2015;7;202;I;
5;31;22/07/2015;TRUE;16;34;NA;N;B;42;M;A;R;19;2015;7;202;I;
30;32;22/07/2015;FALSE;17;9;NA;N;NA;18;NA;G;NR;16;2015;7;202;I;
31;33;22/07/2015;FALSE;17;38;NA;N;C/D;45;NA;A;NR;20;2015;7;202;I;
32;34;22/07/2015;FALSE;17;31;NA;N;NA;19;NA;G;NR;17;2015;7;202;I;
3;35;23/07/2015;TRUE;18;7;NA;R;F;32;F;A;NR;18;2015;7;203;I;
1;36;23/07/2015;TRUE;18;16;1313062;R;NA;43;M;A;R;20;2015;7;203;I;
33;37;23/07/2015;TRUE;18;14;NA;N;NA;18;NA;G;NR;NA;2015;7;203;I;
34;38;23/07/2015;TRUE;18;35;NA;N;NA;36;NA;A;NR;20;2015;7;203;I;
5;39;23/07/2015;TRUE;18;34;NA;R;B;41;M;A;R;19;2015;7;203;I;
99;40;24/07/2015;TRUE;20;55;1314120;N;B/D;37;M;A;NR;19;2015;7;204;I;MICROCHIP USCITO
1;41;24/07/2015;TRUE;20;61;1313062;R;NA;38;M;A;R;20;2015;7;204;I;
5;42;24/07/2015;TRUE;20;64;NA;R;B;46;M;A;NR;19;2015;7;204;I;
36;43;24/07/2015;TRUE;20;26;NA;N;NA;18;NA;G;NR;18;2015;7;204;I;
3;44;24/07/2015;TRUE;20;30;1314691;R;F;36;F;A;NR;18;2015;7;204;I;
37;45;24/07/2015;TRUE;20;35;NA;N;NA;18;NA;G;NR;17;2015;7;204;I;
38;46;24/07/2015;TRUE;20;31;NA;N;NA;18;NA;G;NR;20;2015;7;204;I;
5;47;27/08/2015;FALSE;1;55;NA;R;B;38;M;A;R;20;2015;8;238;II;MANCATA LETTURA EVENTUALI CHIP
39;48;27/08/2015;FALSE;1;65;NA;N;E/F;35;M;A;R;19;2015;8;238;II;MANCATA LETTURA EVENTUALI CHIP
10;49;27/08/2015;FALSE;1;39;NA;N;A/B;35;F;A;NR;18;2015;8;238;II;MANCATA LETTURA EVENTUALI CHIP
9;50;27/08/2015;FALSE;1;28;NA;N;A/E;35;M;A;NR;20;2015;8;238;II;MANCATA LETTURA EVENTUALI CHIP
40;51;27/08/2015;FALSE;1;29;NA;N;A;39;NA;A;NA;NA;2015;8;238;II;SCAPPATO, FORSE PELO IN A
6;52;28/08/2015;TRUE;2;11;1313807;N;NA;35;F;A;R;17;2015;8;239;II;
7;53;28/08/2015;TRUE;2;13;1314797;N;NA;25;M;G;NR;18;2015;8;239;II;
5;54;28/08/2015;TRUE;2;55;1315304;R;B;34;M;A;R;20;2015;8;239;II;
41;55;28/08/2015;TRUE;2;16;NA;N;NA;18;NA;G;NR;20;2015;8;239;II;
42;56;28/08/2015;TRUE;2;57;1314440;N;NA;37;M;A;R;17;2015;8;239;II;
8;57;28/08/2015;TRUE;2;46;1314106;N;NA;33;M;A;R;17;2015;8;239;II;
43;58;28/08/2015;TRUE;2;44;1316717;N;NA;31;M;A;R;19;2015;8;239;II;MICROCHIP USCITO
3;59;28/08/2015;TRUE;2;39;1314691;R;F;38;F;A;NR;18;2015;8;239;II;
44;60;28/08/2015;TRUE;2;32;NA;NA;NA;NA;M;A;R;NA;2015;8;239;II;MORTO PER ERMELLINO
7;61;28/08/2015;FALSE;3;12;1314797;R;NA;26;M;G;NR;18;2015;8;239;II;
45;62;28/08/2015;FALSE;3;58;NA;N;NA;21;NA;G;NR;17;2015;8;239;II;
3;63;28/08/2015;FALSE;3;29;1314691;R;F;35;F;A;NR;18;2015;8;239;II;
9;64;28/08/2015;FALSE;3;31;1312250;R;A/E;30;M;A;NR;20;2015;8;239;II;
13;65;28/08/2015;FALSE;3;37;1314269;N;NA;37;M;A;NR;19;2015;8;239;II;
8;66;29/08/2015;TRUE;4;3;1314106;R;NA;32;M;A;R;17;2015;8;240;II;
6;67;29/08/2015;TRUE;4;16;1313807;R;NA;29;F;A;R;17;2015;8;240;II;
11;68;29/08/2015;TRUE;4;74;1313979;N;NA;40;M;A;R;19;2015;8;240;II;
46;69;29/08/2015;TRUE;4;71;NA;N;NA;18;NA;G;NR;17;2015;8;240;II;
47;70;29/08/2015;TRUE;4;43;1312387;N;NA;26;F;A;NR;18;2015;8;240;II;
9;71;29/08/2015;TRUE;4;35;1312250;R;A/E;27;M;A;NR;20;2015;8;240;II;
7;72;29/08/2015;FALSE;5;12;1314797;R;NA;25;M;G;NR;18;2015;8;240;II;
8;73;29/08/2015;FALSE;5;19;1314106;R;NA;35;M;A;R;17;2015;8;240;II;
48;74;29/08/2015;FALSE;5;73;NA;N;NA;22;NA;G;NR;18;2015;8;240;II;
10;75;29/08/2015;FALSE;5;40;1315457;R;A/B;28;F;A;NR;18;2015;8;240;II;
9;76;29/08/2015;FALSE;5;35;1312250;R;A/E;30;M;A;R;20;2015;8;240;II;
5;77;30/08/2015;TRUE;6;57;1315304;R;B;35;M;A;R;20;2015;8;241;II;
